"","session_id","mall_id","activity"
"1",148188687672868,25,"Work"
"2",148188687672868,1045,"Work"
"3",148189012643613,33,"Residence"
"4",148189322470242,34,"Work"
"5",148189322825486,87,"Work"
"6",148189409525012,84,"Work"
"7",148189463324796,25,"Residence"
"8",148189517568623,89,"Residence"
"9",148189734747032,1096,"Residence"
"10",148189862441002,50,"Residence"
"11",148189862441002,50,"Work"
"12",148189884288025,84,"Work"
"13",148190005424602,94,"Residence"
"14",148190005424602,94,"Work"
"15",148190036762491,88,"Residence"
"16",148190036762491,88,"Work"
"17",148190138408007,76,"Work"
"18",148190138408007,1045,"Residence"
"19",148190270641882,32,"Work"
"20",148190270641882,33,"Work"
"21",148190499521599,37,"Residence"
"22",148190499521599,37,"Work"
"23",148190653840529,76,"Residence"
"24",148190653840529,76,"Work"
"25",148190775560204,89,"Work"
"26",148190832851206,37,"Residence"
"27",148190832851206,37,"Work"
"28",148191018800810,1096,"Work"
"29",148191025568846,1077,"Residence"
"30",148191114007835,1022,"Work"
"31",148191141215508,25,"Work"
"32",148191150293906,81,"Work"
"33",148191153903326,78,"Work"
"34",148191153903326,82,"Work"
"35",148191170981494,1111,"Work"
"36",148191218229675,1062,"Residence"
"37",148191262718038,33,"Residence"
"38",148191262718038,33,"Work"
"39",148191269468355,78,"Residence"
"40",148191282321867,1001,"Residence"
"41",148191282321867,1025,"Residence"
"42",148191282321867,1033,"Residence"
"43",148191282321867,1033,"Work"
"44",148191282321867,1077,"Residence"
"45",148191282321867,1077,"Work"
"46",148191282321867,1110,"Residence"
"47",148191326319259,1048,"Work"
"48",148191625694993,75,"Residence"
"49",148191710348219,30,"Work"
"50",148191745097665,88,"Work"
"51",148191777616305,75,"Work"
"52",148191968599585,78,"Residence"
"53",148191968599585,78,"Work"
"54",148192002356780,78,"Work"
"55",148192034134472,1047,"Residence"
"56",148192034134472,1067,"Residence"
"57",148192034134472,1067,"Work"
"58",148192044877131,31,"Work"
"59",148192044877131,1059,"Work"
"60",148192119145475,1078,"Residence"
"61",148192119145475,1078,"Work"
