,session_id,mall_id,lat,lng,activity,uniqueCount,totActiveDays,home_lat,home_long,mallidNearHome,work_lat,work_long,mallidNearWork,home_office_dist,one_home_dist,one_work_dist
103,148195684568674,23,39.848064,32.835148,Work,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,148200133269987,86,40.995384,28.909842,Residence,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,148208663944334,84,40.96933,29.091743,Work,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
372,148208663944334,84,40.96933,29.091743,Residence,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430,148215557481676,86,40.995384,28.909842,Residence,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
593,148300701092016,26,41.109474,29.030212,Work,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
603,148352286132582,87,41.077419,29.011221,Work,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,148189517568623,89,41.070644,29.00189,Residence,1,24,39.89990793,32.80297968,105_1039,39.89990793,32.80297968,105_1039,0,347.17,347.17
15,148190036762491,88,40.98584,29.100296,Work,6,24,40.98537305,29.1017282,88_1096,40.98537305,29.1017282,88_1096,0,0.13,0.13
16,148190036762491,88,40.98584,29.100296,Residence,18,24,40.98537305,29.1017282,88_1096,40.98537305,29.1017282,88_1096,0,0.13,0.13
28,148191018800810,1096,40.986317,29.103914,Work,1,24,41.05334293,29.2350103,0,41.05334293,29.2350103,0,0,13.3,13.3
40,148191282321867,1033,41.038063,28.983295,Work,12,24,41.03615557,28.98039467,1033_1025,41.03615557,28.98039467,1033_1025,0,0.32,0.32
41,148191282321867,1001,41.040596,28.98838,Residence,1,24,41.03615557,28.98039467,1033_1025,41.03615557,28.98039467,1033_1025,0,0.83,0.83
42,148191282321867,1033,41.038063,28.983295,Residence,3,24,41.03615557,28.98039467,1033_1025,41.03615557,28.98039467,1033_1025,0,0.32,0.32
43,148191282321867,1077,41.030857,28.973768,Work,1,24,41.03615557,28.98039467,1033_1025,41.03615557,28.98039467,1033_1025,0,0.81,0.81
44,148191282321867,1077,41.030857,28.973768,Residence,16,24,41.03615557,28.98039467,1033_1025,41.03615557,28.98039467,1033_1025,0,0.81,0.81
45,148191282321867,1110,41.030804,28.983236,Residence,1,24,41.03615557,28.98039467,1033_1025,41.03615557,28.98039467,1033_1025,0,0.64,0.64
46,148191282321867,1025,41.034428,28.983999,Residence,2,24,41.03615557,28.98039467,1033_1025,41.03615557,28.98039467,1033_1025,0,0.36,0.36
52,148191968599585,78,41.086391,28.982019,Residence,8,24,41.09000524,28.9833083,78,41.09000524,28.9833083,78,0,0.42,0.42
53,148191968599585,78,41.086391,28.982019,Work,4,24,41.09000524,28.9833083,78,41.09000524,28.9833083,78,0,0.42,0.42
58,148192044877131,1059,41.006886,29.033216,Work,1,24,41.08332394,28.98989993,0,40.87077058,29.39042513,0,41.15,9.25,33.64
59,148192044877131,31,40.982479,29.13283,Work,1,24,41.08332394,28.98989993,0,40.87077058,29.39042513,0,41.15,16.43,24.98
5,148189322825486,87,41.077419,29.011221,Work,1,23,41.13246296,29.0410266,0,41.08977349,28.78862297,0,21.7,6.62,18.73
13,148190005424602,94,41.04657,28.897532,Residence,1,23,40.95555904,29.09387341,0,41.04562154,28.89626123,94,19.39,19.36,0.15
14,148190005424602,94,41.04657,28.897532,Work,11,23,40.95555904,29.09387341,0,41.04562154,28.89626123,94,19.39,19.36,0.15
25,148190775560204,89,41.070644,29.00189,Work,14,23,41.15376527,29.08846607,0,41.06691899,29.00008474,89,12.18,11.76,0.44
31,148191141215508,25,41.07671,29.027039,Work,13,23,40.94251751,29.15839389,0,41.07740391,29.02173211,25,18.9,18.57,0.45
33,148191153903326,78,41.086391,28.982019,Work,1,23,41.0490059,29.00016772,0,41.05469334,28.9992692,82,0.64,4.43,3.81
34,148191153903326,82,41.05365,28.993231,Work,1,23,41.0490059,29.00016772,0,41.05469334,28.9992692,82,0.64,0.78,0.52
35,148191170981494,1111,41.025745,28.958967,Work,2,23,41.0575595,29.02600015,0,41.0575595,29.02600015,0,0,6.65,6.65
72,148192934814218,75,41.006882,28.797319,Work,17,23,41.09818164,28.76203624,0,41.00280873,28.79787306,75,11.03,10.59,0.46
76,148194006492350,1046,40.959423,29.072475,Residence,17,23,40.95926455,29.07321401,1046,40.95926455,29.07321401,1046,0,0.06,0.06
81,148195122756662,36,40.9883,29.086309,Work,1,23,40.97251923,29.08203527,0,40.98539599,29.07815684,0,1.47,1.79,0.76
82,148195122756662,84,40.96933,29.091743,Work,1,23,40.97251923,29.08203527,0,40.98539599,29.07815684,0,1.47,0.89,2.12
83,148195167850717,25,41.07671,29.027039,Work,1,23,41.11597022,29.0138744,0,41.07201692,29.012313,24,4.89,4.51,1.34
84,148195167850717,24,41.076225,29.011829,Work,14,23,41.11597022,29.0138744,0,41.07201692,29.012313,24,4.89,4.43,0.47
85,148195184600048,1025,41.034428,28.983999,Residence,3,23,41.00427333,28.77777998,0,41.03423832,28.98367841,1025,17.61,17.64,0.03
86,148195184600048,1025,41.034428,28.983999,Work,14,23,41.00427333,28.77777998,0,41.03423832,28.98367841,1025,17.61,17.64,0.03
134,148196465063288,1123,41.042507,29.001322,Work,4,23,41.17947914,28.89159249,0,41.04592923,28.99891432,1123_1071,17.38,17.81,0.43
137,148196825054907,92,41.06768,28.992279,Work,1,23,41.07199677,28.99895212,89,41.07199677,28.99895212,89,0,0.74,0.74
138,148196825054907,89,41.070644,29.00189,Work,11,23,41.07199677,28.99895212,89,41.07199677,28.99895212,89,0,0.29,0.29
139,148196825054907,89,41.070644,29.00189,Residence,15,23,41.07199677,28.99895212,89,41.07199677,28.99895212,89,0,0.29,0.29
148,148197038126827,76,41.068562,29.005823,Work,1,23,41.08958228,28.6781656,0,41.06225649,29.01165768,0,28.15,27.59,0.86
149,148197038126827,21,41.078178,29.010618,Residence,1,23,41.08958228,28.6781656,0,41.06225649,29.01165768,0,28.15,27.92,1.77
172,148197787953108,1025,41.034428,28.983999,Residence,1,23,41.04513335,29.01165766,1005,41.08163542,29.01182728,1002_1075,4.06,2.61,5.75
173,148197787953108,1002,41.08334,29.012632,Work,9,23,41.04513335,29.01165766,1005,41.08163542,29.01182728,1002_1075,4.06,4.25,0.2
